

---------------------------------------------------

Inference for Stan model: anon_model_f0a4b0a480636fcaa2be8ca6b94a0f70.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu[120]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[121]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[122]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[123]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[124]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[125]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[126]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[127]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[128]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[129]       -7.85  9.2e-4   0.06  -7.97  -7.89  -7.85  -7.81  -7.73   3769    1.0
mu[130]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[131]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[132]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[133]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[134]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[135]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[136]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[137]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[138]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[139]       -5.84  3.3e-3   0.18  -6.22  -5.95  -5.83  -5.72  -5.49   3172    1.0
mu[140]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[141]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[142]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[143]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[144]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[145]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[146]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[147]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[148]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[149]       -7.36  4.2e-4   0.03  -7.42  -7.38  -7.36  -7.35  -7.31   4000    1.0
mu[150]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[151]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[152]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[153]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[154]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[155]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[156]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[157]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[158]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[159]       -6.91  1.1e-3   0.07  -7.04  -6.95  -6.91  -6.87  -6.78   3785    1.0
mu[160]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[161]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[162]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[163]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[164]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[165]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[166]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
mu[167]       -8.48  7.5e-4   0.05  -8.58  -8.51  -8.48  -8.45  -8.39   3919    1.0
